"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","70","conLdiscD","10","450","62","4.294936437177665","27.172038019103"
"5","1.01","70","conLdiscD","10","355","101","5.203359524417068","18.00659641979447"
"2","1","70","conLdiscD","15","745","137","5.733336525876885","20.607827660743464"
"3","1","70","conLdiscD","20","1426","377","9.891030492918128","61.91936167516805"
"6","1.01","70","conLdiscD","15","1008","130","4.721566672868796","38.85135412839342"
"9","1.02","70","conLdiscD","10","291","79","4.349941483359177","31.94886778345424"
"7","1.01","70","conLdiscD","20","1840","394","10.096746093325788","39.40934915822901"
"10","1.02","70","conLdiscD","15","929","162","6.2643102974911695","33.788061235546884"
"11","1.02","70","conLdiscD","20","1636","254","7.384900673850225","91.98380742294329"
"13","1.03","70","conLdiscD","10","259","74","4.448605714202402","34.44558690811664"
"14","1.03","70","conLdiscD","15","1011","95","4.514874318995834","38.220986031432375"
"8","1.01","70","conLdiscD","25","2925","446","9.96517634644337","68.523948666008"
"4","1","70","conLdiscD","25","3619","488","10.450375848272367","68.09821522436218"
"17","1.04","70","conLdiscD","10","421","67","4.211694246853147","35.94344137776814"
"18","1.04","70","conLdiscD","15","857","95","4.868772595266373","27.708201589693303"
"12","1.02","70","conLdiscD","25","2234","500","11.864357631408222","53.614568997439534"
"15","1.03","70","conLdiscD","20","1809","271","8.735044815624535","47.318886446840395"
"21","1.05","70","conLdiscD","10","325","80","4.595038778417606","41.426692138671875"
"22","1.05","70","conLdiscD","15","783","109","5.0573186349827495","29.375494946422023"
"19","1.04","70","conLdiscD","20","1751","280","8.749486875146463","33.607053363963324"
"16","1.03","70","conLdiscD","25","2634","393","10.07645351200675","102.04578676013348"
"25","1.06","70","conLdiscD","10","332","55","3.4822725773052676","24.841113103472033"
"23","1.05","70","conLdiscD","20","1561","439","11.393075041218955","132.3729435437093"
"26","1.06","70","conLdiscD","15","711","107","4.951517035911829","41.31641959606735"
"20","1.04","70","conLdiscD","25","2520","325","8.520141904298981","64.0732720423641"
"29","1.07","70","conLdiscD","10","307","76","4.423679162223052","21.89565819875123"
"30","1.07","70","conLdiscD","15","621","216","8.022241829599402","46.84354651948997"
"27","1.06","70","conLdiscD","20","1810","273","9.664441175664667","65.64470806282982"
"31","1.07","70","conLdiscD","20","1289","226","8.240240305990067","58.59477234886063"
"33","1.08","70","conLdiscD","10","315","45","3.2190575002265476","33.47753832216201"
"28","1.06","70","conLdiscD","25","2310","288","8.529823610999916","28.054426707355642"
"34","1.08","70","conLdiscD","15","622","161","7.103194127246278","75.79615906874868"
"35","1.08","70","conLdiscD","20","1314","172","6.164926483213323","23.24409474556719"
"24","1.05","70","conLdiscD","25","3259","267","8.576512358580551","24.80298293690461"
"37","1.09","70","conLdiscD","10","399","82","4.974341711619852","22.33847203502944"
"38","1.09","70","conLdiscD","15","678","137","5.97060827172982","15.880144518475179"
"32","1.07","70","conLdiscD","25","2288","506","11.88275531797229","121.1262624271467"
"41","1.1","70","conLdiscD","10","242","29","2.414396350763966","20.086375304874576"
"42","1.1","70","conLdiscD","15","642","143","6.49277386004578","21.182601191006725"
"36","1.08","70","conLdiscD","25","2362","302","9.03403633522775","35.34855251693914"
"40","1.09","70","conLdiscD","25","1930","343","8.850600710173946","48.27293278700424"
"43","1.1","70","conLdiscD","20","1409","126","5.266417814690645","34.795559630495276"
"45","1.11","70","conLdiscD","10","321","47","3.9413839927255427","18.018266490823535"
"39","1.09","70","conLdiscD","20","2289","351","10.424918513507277","24.45353426185651"
"46","1.11","70","conLdiscD","15","995","166","7.25200355531357","26.551855358525664"
"49","1.12","70","conLdiscD","10","374","50","4.051103793695404","9.738232498498126"
"50","1.12","70","conLdiscD","15","656","139","6.885555210565108","29.741417437956866"
"47","1.11","70","conLdiscD","20","1511","225","8.413981530208664","65.13234874111427"
"44","1.1","70","conLdiscD","25","2274","418","10.89774157191828","59.125046269052625"
"53","1.13","70","conLdiscD","10","251","62","4.140013053324706","27.18582925608983"
"54","1.13","70","conLdiscD","15","699","164","7.285317950258002","36.628132974099394"
"48","1.11","70","conLdiscD","25","2136","301","8.56325854506694","37.039730015229814"
"55","1.13","70","conLdiscD","20","1544","139","6.451534789279376","36.70723752995505"
"51","1.12","70","conLdiscD","20","2348","264","8.803585574038513","36.34351344083613"
"57","1.14","70","conLdiscD","10","442","56","4.174850068291565","11.34048413396049"
"52","1.12","70","conLdiscD","25","2449","465","12.468671118926034","51.86897784620459"
"58","1.14","70","conLdiscD","15","654","132","6.240810580409652","34.697063291418615"
"61","1.15","70","conLdiscD","10","300","80","5.379934284897312","15.384496641179336"
"62","1.15","70","conLdiscD","15","555","136","6.319985253499911","41.77642411601336"
"59","1.14","70","conLdiscD","20","1087","185","7.992034709331264","25.549260701502664"
"63","1.15","70","conLdiscD","20","1197","176","7.488091859069659","57.24879669750985"
"65","1.16","70","conLdiscD","10","289","62","4.711144610862554","25.209775075472052"
"56","1.13","70","conLdiscD","25","2767","360","10.305989516231184","40.46427304761808"
"66","1.16","70","conLdiscD","15","729","118","6.306098331733945","24.64195077028614"
"60","1.14","70","conLdiscD","25","2265","347","10.429443527272902","26.958842521728222"
"69","1.17","70","conLdiscD","10","217","49","4.151542225535585","22.81364647735244"
"70","1.17","70","conLdiscD","15","649","116","5.554228077621897","40.39530005539044"
"64","1.15","70","conLdiscD","25","2284","435","12.841524018083874","59.25916166784051"
"67","1.16","70","conLdiscD","20","1859","207","7.898966324065196","76.87231696632098"
"73","1.18","70","conLdiscD","10","311","46","3.6035018023207934","13.47189042681624"
"71","1.17","70","conLdiscD","20","1479","150","7.426894981511024","35.23959743501991"
"74","1.18","70","conLdiscD","15","781","117","6.570270397450092","46.16218979920445"
"75","1.18","70","conLdiscD","20","1011","184","7.144922343876413","51.04808859342582"
"77","1.19","70","conLdiscD","10","287","35","3.301116432074848","25.300281172126848"
"72","1.17","70","conLdiscD","25","1957","301","9.28369998886594","37.812665309795456"
"78","1.19","70","conLdiscD","15","567","135","6.397331707077021","72.68621937895175"
"68","1.16","70","conLdiscD","25","2995","421","12.233643262891324","30.354956201128893"
"81","1.2","70","conLdiscD","10","324","47","3.706668009446587","22.20490393557427"
"76","1.18","70","conLdiscD","25","2098","353","11.419270614542565","78.60142240562905"
"82","1.2","70","conLdiscD","15","658","123","6.891435391428126","31.877239493912523"
"79","1.19","70","conLdiscD","20","1608","222","8.583578471852976","34.8630062406189"
"85","1.21","70","conLdiscD","10","225","69","5.0063786209478645","28.368901206920718"
