"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","60","conLdiscD","10","454","71","4.242117969862174","39.690763380030624"
"5","1","61","conLdiscD","10","484","35","2.9532542225398144","13.542327346175817"
"2","1","60","conLdiscD","15","1225","155","5.997475474240643","37.080850660242064"
"6","1","61","conLdiscD","15","1405","202","7.675369658563702","28.62467807294648"
"3","1","60","conLdiscD","20","2168","273","7.553721991782751","65.64780256836107"
"9","1","62","conLdiscD","10","353","49","3.6948090332317753","8.25463156984934"
"7","1","61","conLdiscD","20","1817","259","7.836395242576243","25.462481466340105"
"10","1","62","conLdiscD","15","797","170","5.7351630236262565","48.41175382856938"
"4","1","60","conLdiscD","25","2708","317","8.998058479424005","48.76453830869996"
"13","1","63","conLdiscD","10","273","91","4.745997290259205","12.405996514468812"
"14","1","63","conLdiscD","15","846","188","6.868238123248475","35.29771344683063"
"11","1","62","conLdiscD","20","2050","309","9.48736521955542","45.812184987377194"
"15","1","63","conLdiscD","20","1701","261","6.671256703298125","71.64615099964428"
"17","1","64","conLdiscD","10","339","53","3.216507746656019","17.495432867615364"
"18","1","64","conLdiscD","15","1060","170","6.05121046627656","15.124622102505288"
"12","1","62","conLdiscD","25","3194","512","11.042592705235746","69.09465849718812"
"19","1","64","conLdiscD","20","2174","354","9.722583985156739","56.627746265060594"
"21","1","65","conLdiscD","10","325","71","4.083158886361339","16.38122937623318"
"8","1","61","conLdiscD","25","3445","268","7.689615263100643","19.19421795878724"
"22","1","65","conLdiscD","15","943","189","6.5572586329793765","90.91255887970588"
"16","1","63","conLdiscD","25","3528","550","11.572472955968651","36.62625505727448"
"25","1","66","conLdiscD","10","604","60","3.71254921487424","9.472466926795896"
"26","1","66","conLdiscD","15","890","156","6.593718958322393","42.76158241609831"
"23","1","65","conLdiscD","20","1772","286","7.69773701907925","46.1114372299342"
"20","1","64","conLdiscD","25","3217","621","13.312653812614101","61.96632190575934"
"29","1","67","conLdiscD","10","446","70","4.22334473777447","34.158038735736724"
"27","1","66","conLdiscD","20","1752","148","6.249381437772952","18.267997143993142"
"30","1","67","conLdiscD","15","1141","218","7.897519690979591","37.5611595368964"
"24","1","65","conLdiscD","25","2657","634","11.325083246461212","51.05300513045089"
"33","1","68","conLdiscD","10","321","49","3.4551090783152607","15.663456963792585"
"34","1","68","conLdiscD","15","821","189","6.844635418859725","44.108142320360656"
"31","1","67","conLdiscD","20","1959","245","7.3592973693877255","37.352491843194386"
"35","1","68","conLdiscD","20","1515","292","7.907747514886228","50.232303084839295"
"37","1","69","conLdiscD","10","401","51","3.7564315709704905","13.750876925400181"
"28","1","66","conLdiscD","25","2904","431","9.81230383683772","63.27666487194037"
"38","1","69","conLdiscD","15","829","149","5.7944110076716875","29.399499827096825"
"39","1","69","conLdiscD","20","1541","234","6.771307986065596","27.498708663411872"
"41","1","70","conLdiscD","10","365","101","5.000020236395686","53.842738457668155"
"42","1","70","conLdiscD","15","798","169","6.710886979793326","19.785245444421633"
"32","1","67","conLdiscD","25","3590","469","10.214872985981119","45.88603751507774"
"36","1","68","conLdiscD","25","3184","507","11.227255159618162","74.78674480734847"
"45","1","71","conLdiscD","10","405","64","3.7979987733350953","20.665911128625964"
"43","1","70","conLdiscD","20","1774","250","7.625372308175964","61.04622896820314"
"46","1","71","conLdiscD","15","971","170","6.657858189118058","36.68358952994476"
"40","1","69","conLdiscD","25","3107","510","10.882915682692026","89.83779962498335"
"49","1","72","conLdiscD","10","355","76","4.753413216101425","22.046125536756502"
"50","1","72","conLdiscD","15","1121","106","5.111378260095919","19.4063867233494"
"47","1","71","conLdiscD","20","2173","209","6.890199607781648","18.357903518532147"
"44","1","70","conLdiscD","25","2925","479","10.67628130530106","35.84393493542186"
"53","1","73","conLdiscD","10","453","59","3.609627741687615","17.886125315632636"
"51","1","72","conLdiscD","20","1399","262","6.807546549943737","54.49450987545749"
"54","1","73","conLdiscD","15","676","151","5.947258170343487","25.65668916891437"
"48","1","71","conLdiscD","25","2810","475","10.818788715268811","44.52338586278391"
"57","1","74","conLdiscD","10","314","72","3.559314141734264","12.572112664916991"
"58","1","74","conLdiscD","15","1038","176","6.548726216629608","43.73001289584026"
