"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","70","conLdiscD","8","220","34","2.8614593330578737","12.328912774983527"
"2","1","70","conLdiscD","9","265","49","3.034092861126497","22.36801503938605"
"4","1","70","conLdiscD","11","477","86","4.520698822842576","20.734744720449367"
"3","1","70","conLdiscD","10","529","69","4.144210795471735","18.362519158224277"
"5","1","70","conLdiscD","12","464","103","4.9965683233809335","35.366678947153545"
"6","1","70","conLdiscD","13","605","91","4.799365921824972","34.61461205689984"
"7","1","70","conLdiscD","14","750","191","6.768088120645672","30.083880594586706"
"8","1","70","conLdiscD","15","945","158","5.835966147320819","28.6942803360669"
"9","1","70","conLdiscD","16","938","218","7.832279639848555","92.52219378184493"
"12","1","70","conLdiscD","19","1479","250","7.355139095816524","57.42254442830521"
"13","1","70","conLdiscD","20","1595","271","8.44329154474218","85.43373442602048"
"11","1","70","conLdiscD","18","1795","182","6.51026358086415","24.587255035679743"
"10","1","70","conLdiscD","17","1606","215","7.102271211086528","53.33060510033735"
"14","1","70","conLdiscD","21","1728","331","8.196148852232833","42.963227019511855"
"15","1","70","conLdiscD","22","2155","353","8.349938085782425","49.677332484182315"
"16","1","70","conLdiscD","23","2996","351","9.406433739509007","71.65151763369194"
"17","1","70","conLdiscD","24","2167","572","12.768268039499656","33.55184000543347"
"18","1","70","conLdiscD","25","2735","557","11.405091041038737","77.92515625238944"
"22","1.1","70","conLdiscD","8","158","42","3.402055241249308","22.18896233999063"
"23","1.1","70","conLdiscD","9","246","49","3.530668986490703","21.0084362582278"
"24","1.1","70","conLdiscD","10","338","73","4.133746982869618","44.01732739561343"
"25","1.1","70","conLdiscD","11","313","75","4.728939624538364","26.64722286925699"
"26","1.1","70","conLdiscD","12","404","54","3.9526888253948824","27.97638893584161"
"19","1","70","conLdiscD","26","2672","608","12.522559714542545","50.66848548275953"
"27","1.1","70","conLdiscD","13","671","94","4.636772256092003","63.21450969100335"
"28","1.1","70","conLdiscD","14","734","118","5.604634748495355","20.830461982892263"
"29","1.1","70","conLdiscD","15","844","129","5.835673147885557","45.19337468737312"
"30","1.1","70","conLdiscD","16","783","142","6.112813328953946","49.67535274601772"
"31","1.1","70","conLdiscD","17","1405","291","10.175853576516632","35.36948820365677"
"32","1.1","70","conLdiscD","18","1274","221","9.190143631217282","20.631936420654505"
"20","1","70","conLdiscD","27","3320","448","10.794554606637362","51.33534521625879"
"33","1.1","70","conLdiscD","19","1312","211","7.872730288506054","25.577805029030163"
"34","1.1","70","conLdiscD","20","1662","314","10.787596338024176","68.16757569365524"
"35","1.1","70","conLdiscD","21","1347","317","8.567661217123574","58.00856380774268"
"36","1.1","70","conLdiscD","22","1797","152","6.154735371473667","40.691159948059315"
"37","1.1","70","conLdiscD","23","2002","404","11.568007410721524","28.964993159139777"
"39","1.1","70","conLdiscD","25","2183","346","10.095911268455428","100.17317700524882"
"38","1.1","70","conLdiscD","24","2631","522","14.243688285708389","42.048414451812114"
"40","1.1","70","conLdiscD","26","2916","647","15.287035451537726","57.80816799003719"
"43","1.2","70","conLdiscD","8","171","33","3.469236517600978","22.008420590625065"
"44","1.2","70","conLdiscD","9","218","52","4.166282204458323","33.4369685843349"
"45","1.2","70","conLdiscD","10","242","54","4.461894118233311","26.9407204935639"
"46","1.2","70","conLdiscD","11","349","67","4.462140349693136","44.91617451058667"
"47","1.2","70","conLdiscD","12","397","82","5.57670298464277","11.064571826866759"
"48","1.2","70","conLdiscD","13","426","85","5.311681122063635","23.676555795162706"
"49","1.2","70","conLdiscD","14","421","89","5.138801796832714","17.781142048294218"
"50","1.2","70","conLdiscD","15","590","96","5.805134700634126","19.551713310124434"
"42","1.1","70","conLdiscD","28","2988","572","12.58037948036276","71.41637746293462"
"51","1.2","70","conLdiscD","16","697","136","7.533669155027483","25.40983228136794"
"53","1.2","70","conLdiscD","18","909","137","6.778904704742921","20.981417754593505"
"52","1.2","70","conLdiscD","17","1120","159","7.673963893291354","25.834620580040603"
"54","1.2","70","conLdiscD","19","1032","147","7.107394486953151","36.88272324417461"
"41","1.1","70","conLdiscD","27","3953","435","10.850384507004483","109.81182737702996"
"55","1.2","70","conLdiscD","20","1854","191","8.283929531565327","73.4740040653357"
"56","1.2","70","conLdiscD","21","1630","207","8.10833589030044","47.88356194099454"
