"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-aplha1.02"
"10/08/2022 02:24:10:874 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","70","deterministic","poisson","20","1","251","20","15.481131651549582","27.44680774921583"
"2","1","70","deterministic","poisson","20","1.01","500","22","15.579170438884493","49.10464220174425"
"4","1","70","deterministic","poisson","20","1.03","500","0","21.596972787489833","42.5172775948744"
"3","1","70","deterministic","poisson","20","1.02","500","0","21.39726106299457","79.55774619781415"
"7","1","70","deterministic","poisson","20","1.06","500","0","21.913618649536122","27.4927439869404"
"6","1","70","deterministic","poisson","20","1.05","500","0","21.975439180636943","19.208246946549952"
"5","1","70","deterministic","poisson","20","1.04","500","0","22.22191169529364","55.42209243195428"
"8","1","70","deterministic","poisson","20","1.07","500","0","21.969579427586638","20.574911824299363"
"9","1","70","deterministic","poisson","20","1.08","500","0","22.045257676296515","25.516266941894933"
"10","1","70","deterministic","poisson","20","1.09","500","0","21.845061534592848","24.27143809437853"
"12","1","70","deterministic","poisson","20","1.11","500","0","21.76568450549593","13.755522134169746"
"11","1","70","deterministic","poisson","20","1.1","500","0","22.248571475681786","22.48077741332962"
"14","1","70","deterministic","poisson","20","1.13","500","0","21.832478306694725","3.788177313404808"
"13","1","70","deterministic","poisson","20","1.12","500","0","21.909595196598392","6.30567919473295"
"15","1","70","deterministic","poisson","20","1.14","500","0","22.001163524760685","11.88359333671121"
"16","1","70","deterministic","poisson","20","1.15","500","0","21.97726058635172","15.630381121207568"
"17","1","70","deterministic","poisson","20","1.16","500","0","22.20360313734237","13.237630258150821"
"18","1","70","deterministic","poisson","20","1.17","500","0","21.787459860375026","2.176018564020436"
"19","1","70","deterministic","poisson","20","1.18","500","0","22.085388323777483","4.849004196638659"
"20","1","70","deterministic","poisson","20","1.19","500","0","22.029382781126575","15.048566030063121"
"21","1","70","deterministic","poisson","20","1.2","500","0","22.315913592781552","20.906060485705424"
"22","1","70","deterministic","poisson","20","1.21","500","0","21.99999999973523","14.893431153994529"
"23","1","70","deterministic","poisson","20","1.22","500","0","22.242390035900545","14.545147835751964"
"25","1","70","deterministic","poisson","20","1.24","500","0","22.271057451219164","8.881760234278065"
"26","1","70","deterministic","poisson","20","1.25","500","0","22.248595461258464","6.045241136690501"
"24","1","70","deterministic","poisson","20","1.23","500","0","22.181073012738242","1.5924511188979042"
"27","1","70","deterministic","poisson","20","1.26","500","0","22.173407076660105","7.585798412813806"
"28","1","70","deterministic","poisson","20","1.27","500","0","22.106397621839918","10.213252769528774"
"29","1","70","deterministic","poisson","20","1.28","500","0","22.00839092584427","14.678734281355911"
"31","1","70","deterministic","poisson","20","1.3","500","0","22.226110770892575","9.782190604815185"
"30","1","70","deterministic","poisson","20","1.29","500","0","22.091561461542195","5.392139653036148"
"32","1","70","deterministic","poisson","20","1.31","500","0","22.00997813726622","13.034641563778655"
"34","1","70","deterministic","poisson","20","1.33","500","0","21.970892927149112","7.915566005178048"
"33","1","70","deterministic","poisson","20","1.32","500","0","22.248595461286744","10.41706964225543"
"35","1","70","deterministic","poisson","20","1.34","500","0","21.842856285642885","0.7801174646254205"
"36","1","70","deterministic","poisson","20","1.35","500","0","22.04540768504835","6.202676055383606"
"38","1","70","deterministic","poisson","20","1.37","500","0","22.088249069739057","1.5721721207110673"
"37","1","70","deterministic","poisson","20","1.36","500","0","22.123741271691415","0.9271622301611955"
"40","1","70","deterministic","poisson","20","1.39","500","0","22.3090212624553","9.181283129391366"
"39","1","70","deterministic","poisson","20","1.38","500","0","22.10663958384226","4.077484084442049"
"41","1","70","deterministic","poisson","20","1.4","500","0","22.29349680960782","4.587926505918722"
"42","1","70","deterministic","poisson","20","1.41","500","0","21.996988341550377","2.3052243555900187"
"43","1","70","deterministic","poisson","20","1.42","500","0","22.293496809607916","7.95345031669428"
"44","1","70","deterministic","poisson","20","1.43","500","0","22.149269751805143","3.660397050193155"
"46","1","70","deterministic","poisson","20","1.45","500","0","22.203603311174373","7.461238135021559"
"45","1","70","deterministic","poisson","20","1.44","500","0","22.052122290149185","4.436886585072205"
"47","1","70","deterministic","poisson","20","1.46","500","0","22.129606423913767","4.674153121660086"
"50","1","70","deterministic","poisson","20","1.49","500","0","21.976196773525828","4.000923910116885"
"49","1","70","deterministic","poisson","20","1.48","500","0","21.931712199461202","2.420709250750357"
"48","1","70","deterministic","poisson","20","1.47","500","0","22.107884322312163","9.741975629480432"
"51","1","70","deterministic","poisson","20","1.5","500","0","22.315913604421333","2.5465973162414737"
"52","1","70","deterministic","poisson","20","1.51","500","0","21.808729785052808","2.7472213661299096"
"53","1","70","deterministic","poisson","20","1.52","500","0","22.22611077089271","3.549594952124352"
"54","1","70","deterministic","poisson","20","1.53","500","0","21.999537271744305","1.14382616754001"
"55","1","70","deterministic","poisson","20","1.54","500","0","22.246922694414884","2.193233658656348"
"56","1","70","deterministic","poisson","20","1.55","500","0","22.271057451320047","6.111794245412805"
"57","1","70","deterministic","poisson","20","1.56","500","0","22.114537474650298","7.418457395599545"
"58","1","70","deterministic","poisson","20","1.57","500","0","22.159582279679473","2.6363167609209732"
"59","1","70","deterministic","poisson","20","1.58","500","0","22.11668549687231","7.744674537398266"
"60","1","70","deterministic","poisson","20","1.59","500","0","22.09978883637936","3.289307862621468"
"61","1","70","deterministic","poisson","20","1.6","500","0","22.27105745131995","1.1613809770027592"
"63","1","70","deterministic","poisson","20","1.62","500","0","22.255240292711285","6.863045072413777"
"62","1","70","deterministic","poisson","20","1.61","500","0","22.129477866357078","6.329613553777959"
"64","1","70","deterministic","poisson","20","1.63","500","0","22.113344387495896","5.6164577110212"
"65","1","70","deterministic","poisson","20","1.64","500","0","22.181073012818626","7.2668658810551126"
"66","1","70","deterministic","poisson","20","1.65","500","0","22.24859546128696","2.204321134532173"
"67","1","70","deterministic","poisson","20","1.66","500","0","22.315913604421343","6.487523729909349"
"68","1","70","deterministic","poisson","20","1.67","500","0","22.251302591945436","2.5064229276890106"
"69","1","70","deterministic","poisson","20","1.68","500","0","22.260103403587845","7.318030356181598"
"70","1","70","deterministic","poisson","20","1.69","500","0","22.025110362294612","6.448137233170835"
"72","1","70","deterministic","poisson","20","1.71","500","0","22.081690788426556","3.4571402095017514"
"73","1","70","deterministic","poisson","20","1.72","500","0","22.143002110650468","4.329780934591909"
