"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-aplha1.02"
"10/08/2022 02:31:16:415 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","700","deterministic","poisson","20","1","41","20","15.52736127831212","529.8208218235153"
"2","1","700","deterministic","poisson","20","1.01","101","22","15.635600875853672","172.93043252246258"
"4","1","700","deterministic","poisson","20","1.03","200","0","12.781129861450717","177.40420850380585"
"3","1","700","deterministic","poisson","20","1.02","200","0","12.369316871319747","362.9493218847482"
"6","1","700","deterministic","poisson","20","1.05","200","0","13.747727084866856","150.70094189138817"
"7","1","700","deterministic","poisson","20","1.06","200","0","13.593487854577077","110.46292901261565"
"8","1","700","deterministic","poisson","20","1.07","200","0","13.819165621416085","46.97934713970277"
"9","1","700","deterministic","poisson","20","1.08","200","0","13.747727084867083","100.2244135949357"
"5","1","700","deterministic","poisson","20","1.04","200","0","13.490737563231033","138.32173417054878"
"10","1","700","deterministic","poisson","20","1.09","200","0","13.70377867489009","64.20417765354041"
"11","1","700","deterministic","poisson","20","1.1","200","0","14.071247279469842","35.94857387314912"
"12","1","700","deterministic","poisson","20","1.11","200","0","13.57955606995981","58.59948188417471"
"14","1","700","deterministic","poisson","20","1.13","200","0","13.584677394057294","15.621936760961969"
"15","1","700","deterministic","poisson","20","1.14","200","0","13.526848358760535","53.61777046389177"
"16","1","700","deterministic","poisson","20","1.15","200","0","13.764953156860903","28.55734155878999"
"13","1","700","deterministic","poisson","20","1.12","200","0","13.99999999999959","27.230135592531013"
"17","1","700","deterministic","poisson","20","1.16","200","0","13.74250577587694","43.33982918176117"
"18","1","700","deterministic","poisson","20","1.17","200","0","13.588772662841592","13.608198352081523"
"19","1","700","deterministic","poisson","20","1.18","200","0","13.6906979458598","20.018507651393154"
"21","1","700","deterministic","poisson","20","1.2","200","0","14.071247279470219","46.311494462086046"
"22","1","700","deterministic","poisson","20","1.21","200","0","13.899919194178345","34.05932338486938"
"23","1","700","deterministic","poisson","20","1.22","200","0","13.832470409036896","26.170235133836616"
"20","1","700","deterministic","poisson","20","1.19","200","0","13.76384495214809","38.232888803464974"
"25","1","700","deterministic","poisson","20","1.24","200","0","13.647628706149556","11.823817400949007"
"24","1","700","deterministic","poisson","20","1.23","200","0","13.933132119422389","35.63332539738771"
"26","1","700","deterministic","poisson","20","1.25","200","0","13.964240043768873","9.59028237359394"
"29","1","700","deterministic","poisson","20","1.28","200","0","13.856406460550952","34.97251487789746"
"28","1","700","deterministic","poisson","20","1.27","200","0","13.732940426225921","31.16047923681257"
"30","1","700","deterministic","poisson","20","1.29","200","0","13.701692236466947","29.766558475132694"
"32","1","700","deterministic","poisson","20","1.31","200","0","13.687385299103212","15.536928594229055"
"31","1","700","deterministic","poisson","20","1.3","200","0","13.964240043768877","13.23548764110898"
"27","1","700","deterministic","poisson","20","1.26","200","0","13.778573184212586","50.330203819689885"
"33","1","700","deterministic","poisson","20","1.32","200","0","14.071247279470237","23.099256350210204"
"35","1","700","deterministic","poisson","20","1.34","200","0","13.970145032648672","25.094624680406156"
"34","1","700","deterministic","poisson","20","1.33","200","0","13.5152059533339","15.547694381298138"
"37","1","700","deterministic","poisson","20","1.36","200","0","13.622872895272101","15.601790495433209"
"39","1","700","deterministic","poisson","20","1.38","200","0","13.880528812949176","14.599182582396589"
"38","1","700","deterministic","poisson","20","1.37","200","0","13.726868965779188","19.76782684169035"
"40","1","700","deterministic","poisson","20","1.39","200","0","13.97071335876651","12.38646092156568"
"36","1","700","deterministic","poisson","20","1.35","200","0","13.74772708486749","40.617425658589546"
"42","1","700","deterministic","poisson","20","1.41","200","0","13.971857739763715","17.816370286517174"
"41","1","700","deterministic","poisson","20","1.4","200","0","13.999999999999947","22.490264591304182"
"43","1","700","deterministic","poisson","20","1.42","200","0","13.889682552668862","9.633704598452265"
"46","1","700","deterministic","poisson","20","1.45","200","0","13.653421162905458","31.1333070201385"
"45","1","700","deterministic","poisson","20","1.44","200","0","13.78604647343876","12.834257371478879"
"47","1","700","deterministic","poisson","20","1.46","200","0","13.780238285089723","10.287807248714948"
"44","1","700","deterministic","poisson","20","1.43","200","0","13.757577086140323","12.049263926253273"
"49","1","700","deterministic","poisson","20","1.48","200","0","13.644443486112802","8.559681902320243"
"48","1","700","deterministic","poisson","20","1.47","200","0","13.985033363770153","9.31592247035562"
"50","1","700","deterministic","poisson","20","1.49","200","0","13.662811030582278","25.346515902486946"
"52","1","700","deterministic","poisson","20","1.51","200","0","13.630079915455289","14.454506078966117"
"53","1","700","deterministic","poisson","20","1.52","200","0","13.8276082776691","8.472583528666316"
"51","1","700","deterministic","poisson","20","1.5","200","0","14.071247279470265","15.679530358686897"
"54","1","700","deterministic","poisson","20","1.53","200","0","13.876562358928052","4.923855701014599"
"55","1","700","deterministic","poisson","20","1.54","200","0","13.837003067910336","10.343807143362525"
"56","1","700","deterministic","poisson","20","1.55","200","0","13.702229763965894","33.421456412297765"
"58","1","700","deterministic","poisson","20","1.57","200","0","13.718039237844236","14.559541045846826"
"57","1","700","deterministic","poisson","20","1.56","200","0","13.96424004376893","21.863325581976454"
"59","1","700","deterministic","poisson","20","1.58","200","0","13.93344987346902","4.875298662867734"
"60","1","700","deterministic","poisson","20","1.59","200","0","13.88540349149707","9.44559471526324"
"61","1","700","deterministic","poisson","20","1.6","200","0","13.856406460550964","20.261474857025657"
"64","1","700","deterministic","poisson","20","1.63","200","0","13.866721065875229","13.970253213089983"
"63","1","700","deterministic","poisson","20","1.62","200","0","13.958434935608617","7.928073819573086"
"62","1","700","deterministic","poisson","20","1.61","200","0","14.00823493050082","4.422296042529241"
"65","1","700","deterministic","poisson","20","1.64","200","0","13.64364950122126","11.418686111302446"
"67","1","700","deterministic","poisson","20","1.66","200","0","13.762666475760096","14.933010249824033"
"66","1","700","deterministic","poisson","20","1.65","200","0","14.071247279470278","10.395469265255187"
"69","1","700","deterministic","poisson","20","1.68","200","0","13.731373502769735","8.929927817733606"
"68","1","700","deterministic","poisson","20","1.67","200","0","13.917384231460826","19.546056970194808"
"70","1","700","deterministic","poisson","20","1.69","200","0","13.92251710245193","12.389568814937537"
"71","1","700","deterministic","poisson","20","1.7","200","0","13.915693539572025","10.891246219573734"
"72","1","700","deterministic","poisson","20","1.71","200","0","13.850209615345015","13.091444936599894"
"75","1","700","deterministic","poisson","20","1.74","200","0","13.743208991442287","4.93761096200306"
"74","1","700","deterministic","poisson","20","1.73","200","0","14.013268549792102","20.994027484819576"
"73","1","700","deterministic","poisson","20","1.72","200","0","13.849505301042468","5.7641581033525116"
"76","1","700","deterministic","poisson","20","1.75","200","0","13.999999999999984","8.773666512429969"
"77","1","700","deterministic","poisson","20","1.76","200","0","13.889199295104435","32.737669206795665"
"78","1","700","deterministic","poisson","20","1.77","200","0","13.765892506954232","14.203385759780653"
"80","1","700","deterministic","poisson","20","1.79","200","0","13.858053099708","12.612405257476803"
"81","1","700","deterministic","poisson","20","1.8","200","0","14.071247279470276","19.826143607024772"
"79","1","700","deterministic","poisson","20","1.78","200","0","13.892421108750217","27.4776565023985"
"82","1","700","deterministic","poisson","20","1.81","200","0","13.931662878556324","2.6042579754607713"
"83","1","700","deterministic","poisson","20","1.82","200","0","13.753112491466448","11.558139164696287"
"84","1","700","deterministic","poisson","20","1.83","200","0","13.893691938311614","9.405691891006319"
"86","1","700","deterministic","poisson","20","1.85","200","0","13.985748854970309","0.8642473951922252"
"87","1","700","deterministic","poisson","20","1.86","200","0","14.07272439397208","16.65196874781722"
"85","1","700","deterministic","poisson","20","1.84","200","0","13.895356041085982","7.775332595145906"
"88","1","700","deterministic","poisson","20","1.87","200","0","13.707841031336693","14.339683799170437"
"89","1","700","deterministic","poisson","20","1.88","200","0","13.711309200802074","19.94685892567447"
"90","1","700","deterministic","poisson","20","1.89","200","0","13.7477270848675","8.693887243983454"
"92","1","700","deterministic","poisson","20","1.91","200","0","13.820274961085234","4.5653799386449085"
"91","1","700","deterministic","poisson","20","1.9","200","0","13.78404875209021","24.47020796158686"
"93","1","700","deterministic","poisson","20","1.92","200","0","13.856406460551007","17.012404186494418"
"94","1","700","deterministic","poisson","20","1.93","200","0","13.892443989449779","7.1419694744201045"
"95","1","700","deterministic","poisson","20","1.94","200","0","13.92838827718408","30.983766044926956"
"97","1","700","deterministic","poisson","20","1.96","200","0","14.007144124326976","13.937705723625436"
"98","1","700","deterministic","poisson","20","1.97","200","0","14.058899029550284","26.810459768853544"
"96","1","700","deterministic","poisson","20","1.95","200","0","13.964240043768903","2.723338587460642"
"99","1","700","deterministic","poisson","20","1.98","200","0","14.071247279470276","19.797007804456424"
"100","1","700","deterministic","poisson","20","1.99","200","0","14.106735979665865","17.862708129146146"
