"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-num-turtles-4world-size-iterate"
"10/08/2022 01:51:21:511 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","60","deterministic","poisson","10","3.5","176","37","1.8932007657123342","22.876735271788554"
"5","1","61","deterministic","poisson","10","3.5","157","20","0.9385143007166419","20.128278592477848"
"2","1","60","deterministic","poisson","15","3.5","405","74","2.5396362287381153","49.77405251559404"
"6","1","61","deterministic","poisson","15","3.5","407","72","2.4800676822512493","38.99841684521256"
"3","1","60","deterministic","poisson","20","3.5","979","168","4.26013125733618","25.429821890934736"
"9","1","62","deterministic","poisson","10","3.5","234","34","1.5824233844080515","25.542119114936302"
"7","1","61","deterministic","poisson","20","3.5","1008","127","3.0712868995264735","50.10881838940741"
"10","1","62","deterministic","poisson","15","3.5","406","107","2.4263121174123974","59.1574190036205"
"4","1","60","deterministic","poisson","25","3.5","1300","174","3.5899867723080465","73.89795821855365"
"13","1","63","deterministic","poisson","10","3.5","267","56","2.1364260599223703","27.126883863595342"
"14","1","63","deterministic","poisson","15","3.5","424","67","2.2253982683337163","59.8961477589861"
"11","1","62","deterministic","poisson","20","3.5","889","150","4.1536930906619","42.91037383813087"
"8","1","61","deterministic","poisson","25","3.5","1523","165","4.303632827345608","64.22436481276132"
"17","1","64","deterministic","poisson","10","3.5","195","38","1.8709656966525854","16.42119001916144"
"15","1","63","deterministic","poisson","20","3.5","936","167","4.13151649584502","28.94052888189982"
"18","1","64","deterministic","poisson","15","3.5","452","115","3.9232382003175346","20.836961082493264"
"19","1","64","deterministic","poisson","20","3.5","773","161","3.751895137352575","37.615392200783596"
"12","1","62","deterministic","poisson","25","3.5","1716","175","3.8695332143445125","38.31484537181096"
"21","1","65","deterministic","poisson","10","3.5","165","40","1.6961126408473528","20.094345832829784"
"22","1","65","deterministic","poisson","15","3.5","393","65","2.961201873351354","24.416455257824243"
"16","1","63","deterministic","poisson","25","3.5","1440","272","3.3019925142977993","41.08399006008523"
"25","1","66","deterministic","poisson","10","3.5","193","38","1.4707669715767397","13.776933492853733"
"26","1","66","deterministic","poisson","15","3.5","440","93","2.4207410393474973","43.27976430814483"
"23","1","65","deterministic","poisson","20","3.5","961","124","2.300385560086836","29.703003601230396"
"27","1","66","deterministic","poisson","20","3.5","862","162","3.7637916114491397","54.428146434639714"
"20","1","64","deterministic","poisson","25","3.5","1630","147","3.1159450056990234","35.88766434942406"
"29","1","67","deterministic","poisson","10","3.5","175","36","1.53830780658377","14.26806895943933"
"24","1","65","deterministic","poisson","25","3.5","1248","182","3.099358504339655","61.108025264639494"
"30","1","67","deterministic","poisson","15","3.5","455","73","2.1212361541937126","47.52605961530713"
"33","1","68","deterministic","poisson","10","3.5","178","35","1.9340392723913644","15.93363632918554"
"31","1","67","deterministic","poisson","20","3.5","699","136","3.121543004558438","52.64372164011496"
"34","1","68","deterministic","poisson","15","3.5","469","123","3.4390785958090646","25.21416935943214"
"35","1","68","deterministic","poisson","20","3.5","913","109","2.834402836562381","43.24733656758845"
"37","1","69","deterministic","poisson","10","3.5","145","28","0.9838865414387126","31.27415433064687"
"32","1","67","deterministic","poisson","25","3.5","1350","144","3.2217933637769924","64.46716412431775"
"38","1","69","deterministic","poisson","15","3.5","420","90","2.8089441984811767","26.097489076555057"
"28","1","66","deterministic","poisson","25","3.5","1896","224","5.287722366652153","63.933960236409284"
"41","1","70","deterministic","poisson","10","3.5","208","25","1.4739808333341107","9.462779264997003"
"36","1","68","deterministic","poisson","25","3.5","1328","244","4.015470510187068","62.4882093072142"
"42","1","70","deterministic","poisson","15","3.5","421","88","2.293324288526562","22.042151533671433"
"39","1","69","deterministic","poisson","20","3.5","1041","121","2.5633099175299794","73.94251623139209"
"45","1","71","deterministic","poisson","10","3.5","333","40","1.9834908707169623","18.23992384955569"
"43","1","70","deterministic","poisson","20","3.5","890","132","3.3218959082197586","44.75121677886706"
"46","1","71","deterministic","poisson","15","3.5","390","51","2.29766756450178","33.108936976565744"
"40","1","69","deterministic","poisson","25","3.5","1600","283","4.8929529763614426","48.05792071919155"
"47","1","71","deterministic","poisson","20","3.5","805","124","3.184059636512046","57.33782510723824"
"49","1","72","deterministic","poisson","10","3.5","177","35","1.3472412120408004","13.097354883305977"
"50","1","72","deterministic","poisson","15","3.5","312","65","2.0134110618869006","14.487014846759177"
"44","1","70","deterministic","poisson","25","3.5","1707","174","1.9006043331739395","48.5949821878358"
"53","1","73","deterministic","poisson","10","3.5","151","49","1.8656582877676788","16.47367325944906"
"51","1","72","deterministic","poisson","20","3.5","971","149","2.9890949070901973","25.349483664088726"
"54","1","73","deterministic","poisson","15","3.5","450","100","1.7765597869007514","92.0644600628442"
"48","1","71","deterministic","poisson","25","3.5","1668","242","3.858228999314502","41.50723996262421"
"57","1","74","deterministic","poisson","10","3.5","167","32","1.5574598786584661","30.422717342719128"
"55","1","73","deterministic","poisson","20","3.5","713","144","2.8527605508212552","42.85519586794467"
"58","1","74","deterministic","poisson","15","3.5","321","66","2.4528582848710894","28.667526400055532"
"52","1","72","deterministic","poisson","25","3.5","1503","131","3.4407342959878564","35.27390178200787"
"61","1","75","deterministic","poisson","10","3.5","150","27","1.3164934585781598","31.625877664258763"
"59","1","74","deterministic","poisson","20","3.5","742","180","4.256549700521026","51.73930058490194"
"62","1","75","deterministic","poisson","15","3.5","419","102","4.053358479663615","25.99316830673613"
"60","1","74","deterministic","poisson","25","3.5","986","187","3.050973510587373","31.357998991262626"
"65","1","76","deterministic","poisson","10","3.5","210","34","1.5095009161260116","11.14770707627159"
"66","1","76","deterministic","poisson","15","3.5","395","108","2.233751723600279","54.92816976843959"
"63","1","75","deterministic","poisson","20","3.5","1045","128","3.079257004294071","66.44010364574984"
"56","1","73","deterministic","poisson","25","3.5","1857","153","3.3674932277993044","89.3607270715484"
