"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-world-size-4step-size-iterate"
"10/08/2022 01:58:26:972 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","70","deterministic","poisson","8","3.5","101","26","1.2873481467617705","13.159300107079822"
"3","1","70","deterministic","poisson","10","3.5","169","34","1.6546638207120852","17.09075002280108"
"2","1","70","deterministic","poisson","9","3.5","156","31","1.6691406614182118","22.045290408552884"
"4","1","70","deterministic","poisson","11","3.5","213","43","1.6157493228854216","19.603814943813894"
"5","1","70","deterministic","poisson","12","3.5","299","44","1.6322350946876183","37.24120082566163"
"6","1","70","deterministic","poisson","13","3.5","262","63","2.0131340263182746","18.476462646570607"
"8","1","70","deterministic","poisson","15","3.5","385","76","2.270812233280867","44.29731170099618"
"9","1","70","deterministic","poisson","16","3.5","531","132","3.7700187434009598","28.255182788606948"
"7","1","70","deterministic","poisson","14","3.5","519","73","2.3493269263426493","32.19801115829229"
"10","1","70","deterministic","poisson","17","3.5","642","97","2.2279706055569166","17.275143887612202"
"11","1","70","deterministic","poisson","18","3.5","789","74","2.123186644292364","37.802260897181675"
"13","1","70","deterministic","poisson","20","3.5","817","122","3.8727719041487134","38.27000470411977"
"12","1","70","deterministic","poisson","19","3.5","986","133","2.601796042617014","22.24497482373239"
"14","1","70","deterministic","poisson","21","3.5","940","200","4.874290465149981","32.84528920564358"
"15","1","70","deterministic","poisson","22","3.5","979","220","4.403158609770575","21.18220585675002"
"16","1","70","deterministic","poisson","23","3.5","952","266","5.741682377055314","62.16866831354656"
"18","1","70","deterministic","poisson","25","3.5","1525","146","3.0627453095078128","85.6039353900768"
"17","1","70","deterministic","poisson","24","3.5","1624","265","4.121524048013654","72.63045912537373"
"19","1","70","deterministic","poisson","26","3.5","1364","292","4.901857166977807","99.46540126988974"
"22","1.1","70","deterministic","poisson","8","3.5","86","17","1.5397177563320468","14.935260353807287"
"23","1.1","70","deterministic","poisson","9","3.5","96","32","1.3069857449072568","68.1911263144676"
"24","1.1","70","deterministic","poisson","10","3.5","180","26","1.0394501060874073","53.11192262735008"
"25","1.1","70","deterministic","poisson","11","3.5","200","56","2.3784587254799314","29.31665792758215"
"26","1.1","70","deterministic","poisson","12","3.5","217","48","2.279619248836914","46.378629661609615"
"27","1.1","70","deterministic","poisson","13","3.5","340","45","2.1013768207347914","23.17895963168716"
"28","1.1","70","deterministic","poisson","14","3.5","375","37","2.043085751915126","28.93577056215995"
"20","1","70","deterministic","poisson","27","3.5","1573","279","5.64528453699376","42.168015383485724"
"29","1.1","70","deterministic","poisson","15","3.5","339","84","3.1824500354960206","42.34312350114948"
"30","1.1","70","deterministic","poisson","16","3.5","484","63","2.1924187367567693","25.567081923408804"
"31","1.1","70","deterministic","poisson","17","3.5","531","82","3.285499284075639","37.96256709709359"
