"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","60","levy","poisson","10","3.5","135","14","0.6082519568741911","21.912974063243798"
"5","1","61","levy","poisson","10","3.5","125","19","0.7952682277621408","32.75166001572949"
"2","1","60","levy","poisson","15","3.5","333","26","1.3033228573609117","31.655797311989513"
"6","1","61","levy","poisson","15","3.5","309","26","1.5268262889001303","35.064425425531034"
"3","1","60","levy","poisson","20","3.5","690","30","2.302341659126057","44.550138738245735"
"9","1","62","levy","poisson","10","3.5","91","15","0.9023694035705185","28.17516141908577"
"10","1","62","levy","poisson","15","3.5","291","40","1.65246162349405","33.741130031251295"
"7","1","61","levy","poisson","20","3.5","732","51","1.0403406243088629","45.14285575643312"
"4","1","60","levy","poisson","25","3.5","1026","67","3.004627718917586","49.496434705912705"
"13","1","63","levy","poisson","10","3.5","106","14","0.9215920277542593","16.677218306609017"
"14","1","63","levy","poisson","15","3.5","277","34","1.7280181014790577","24.309758839134343"
"11","1","62","levy","poisson","20","3.5","592","23","2.2988027670589695","46.271960819928715"
"8","1","61","levy","poisson","25","3.5","908","48","2.8495992619998027","61.26504848379181"
"12","1","62","levy","poisson","25","3.5","814","74","2.8860133920733766","49.838869576292524"
"17","1","64","levy","poisson","10","3.5","128","12","0.9313196851679688","19.731988643424792"
"18","1","64","levy","poisson","15","3.5","293","30","0.9353763184146029","30.62118022517105"
"15","1","63","levy","poisson","20","3.5","795","34","1.5568488338600641","19.917339637784913"
"21","1","65","levy","poisson","10","3.5","94","10","0.6631568261956629","21.29604595060583"
"19","1","64","levy","poisson","20","3.5","486","49","2.087251636662372","66.77141886490097"
"22","1","65","levy","poisson","15","3.5","289","32","1.764490771199661","57.33776788770778"
"16","1","63","levy","poisson","25","3.5","937","69","2.7261716818797623","61.81565738640769"
"25","1","66","levy","poisson","10","3.5","102","14","0.928573106287709","18.78412753527833"
"26","1","66","levy","poisson","15","3.5","276","22","1.110013310211034","19.17797160290701"
"23","1","65","levy","poisson","20","3.5","487","48","2.976318743014497","35.071094073074704"
"20","1","64","levy","poisson","25","3.5","1012","84","2.827275411025692","42.834399520153525"
"29","1","67","levy","poisson","10","3.5","121","8","0.9622258343928967","9.722955992792803"
"27","1","66","levy","poisson","20","3.5","520","68","1.9539015445427914","32.93925214241474"
"30","1","67","levy","poisson","15","3.5","274","29","1.2378310483401749","29.319797671351086"
"31","1","67","levy","poisson","20","3.5","548","38","2.634374284610212","33.39404672087538"
"33","1","68","levy","poisson","10","3.5","107","12","0.9478339838388674","31.024418658633547"
"24","1","65","levy","poisson","25","3.5","1137","88","2.107840148503864","73.36372773355978"
"34","1","68","levy","poisson","15","3.5","373","25","1.3286057671670726","22.27161462472232"
"28","1","66","levy","poisson","25","3.5","1019","65","2.147786069841584","25.222303986011863"
"32","1","67","levy","poisson","25","3.5","841","78","2.50108523913212","39.40282934854399"
"35","1","68","levy","poisson","20","3.5","462","46","2.103414874978821","31.55888002140515"
"37","1","69","levy","poisson","10","3.5","103","14","1.038648682358692","15.023009682767567"
"38","1","69","levy","poisson","15","3.5","283","14","1.0614041724407968","20.636995670061403"
"41","1","70","levy","poisson","10","3.5","136","10","0.5969692819675516","28.210918386453503"
"42","1","70","levy","poisson","15","3.5","225","30","1.9801201269650939","35.58467418659608"
"39","1","69","levy","poisson","20","3.5","612","50","2.4672196697200075","30.6356075888953"
"36","1","68","levy","poisson","25","3.5","774","102","2.706920888361715","30.906133464357627"
"45","1","71","levy","poisson","10","3.5","84","7","1.017658753334834","33.496717772883486"
"46","1","71","levy","poisson","15","3.5","245","25","1.8490504012593876","70.85006764202173"
"43","1","70","levy","poisson","20","3.5","500","42","2.312020391123518","77.41664160124496"
"40","1","69","levy","poisson","25","3.5","953","82","2.1560945633456985","45.53970391156854"
"47","1","71","levy","poisson","20","3.5","473","36","1.9533329333507874","17.25839012141722"
"49","1","72","levy","poisson","10","3.5","102","12","0.6457915230427043","14.031214156741008"
"48","1","71","levy","poisson","25","3.5","627","77","2.877561498693618","55.71574082355182"
"50","1","72","levy","poisson","15","3.5","276","37","0.8754095907559298","22.64751926896971"
"53","1","73","levy","poisson","10","3.5","92","11","1.0291482831097234","9.337151374996052"
"54","1","73","levy","poisson","15","3.5","212","12","1.1641279714381874","11.77530419734865"
"44","1","70","levy","poisson","25","3.5","972","71","1.8618873558710938","59.387764732643554"
"51","1","72","levy","poisson","20","3.5","530","52","1.5782452514189664","44.92582612625414"
"57","1","74","levy","poisson","10","3.5","93","11","0.9105392015542488","19.84662481069147"
"58","1","74","levy","poisson","15","3.5","191","24","0.9495134473712277","18.479007280816045"
"55","1","73","levy","poisson","20","3.5","518","55","1.2894085940173579","92.57872378599777"
"52","1","72","levy","poisson","25","3.5","780","72","3.2743521333425516","32.14023748923708"
"61","1","75","levy","poisson","10","3.5","94","8","0.5436299824274977","23.771018260147233"
"62","1","75","levy","poisson","15","3.5","279","16","1.6726271942448685","31.979965557793683"
"59","1","74","levy","poisson","20","3.5","427","41","2.1042416856286765","39.93127778528359"
"63","1","75","levy","poisson","20","3.5","462","37","2.3455616690670222","29.577885498706802"
"65","1","76","levy","poisson","10","3.5","98","10","0.8508085518979542","16.37806177830945"
"56","1","73","levy","poisson","25","3.5","1064","85","2.1476138283597095","62.61792771105474"
"66","1","76","levy","poisson","15","3.5","233","28","1.0402214076799017","37.630478399482215"
"60","1","74","levy","poisson","25","3.5","820","68","1.7462361579614578","33.96078028674716"
"69","1","77","levy","poisson","10","3.5","127","9","0.522402435941375","12.798874662168588"
"70","1","77","levy","poisson","15","3.5","273","23","1.4754342632309925","27.878736244952773"
"67","1","76","levy","poisson","20","3.5","449","48","1.6999534727954604","70.77807424470383"
"64","1","75","levy","poisson","25","3.5","817","85","2.1348547376363944","122.45930647806408"
"73","1","78","levy","poisson","10","3.5","139","13","0.6365914195050908","17.442997858461755"
"71","1","77","levy","poisson","20","3.5","403","41","1.8095561881114568","54.77657207487401"
"68","1","76","levy","poisson","25","3.5","770","91","3.2103198849068804","51.14770906615611"
"74","1","78","levy","poisson","15","3.5","293","22","0.7618113787897114","35.16978382349727"
"77","1","79","levy","poisson","10","3.5","89","10","0.9157068592355997","19.073088510004364"
"75","1","78","levy","poisson","20","3.5","470","30","1.6727634644587965","49.204388633074565"
"78","1","79","levy","poisson","15","3.5","231","23","1.0358980893093115","31.682775031347912"
"72","1","77","levy","poisson","25","3.5","862","75","2.028609000449114","64.94007042114409"
"81","1","80","levy","poisson","10","3.5","96","11","0.7342072657510736","32.604092036749186"
"76","1","78","levy","poisson","25","3.5","657","71","3.2407294772100084","100.12842505222827"
"79","1","79","levy","poisson","20","3.5","430","51","1.448349484310767","65.73279446459071"
"82","1","80","levy","poisson","15","3.5","191","23","1.1324890765727433","24.16493894352047"
"85","1","81","levy","poisson","10","3.5","111","10","0.6807777508838164","28.29550392371715"
"86","1","81","levy","poisson","15","3.5","251","26","1.4133982470519806","39.37811621797705"
"83","1","80","levy","poisson","20","3.5","410","37","2.4780156182121678","52.66185140875619"
"80","1","79","levy","poisson","25","3.5","725","73","2.808274189388001","27.089282919356066"
"89","1","82","levy","poisson","10","3.5","99","12","0.7535794306578163","22.88920476856928"
"90","1","82","levy","poisson","15","3.5","207","34","1.3657745130153502","20.418662464749122"
"87","1","81","levy","poisson","20","3.5","530","47","1.1150564364101063","46.54740631660235"
"84","1","80","levy","poisson","25","3.5","772","68","2.2331686645336326","78.25279414580096"
"93","1","83","levy","poisson","10","3.5","95","5","0.7610197875073204","27.234694291795915"
"88","1","81","levy","poisson","25","3.5","675","73","1.9676303473844836","117.40833885056266"
"94","1","83","levy","poisson","15","3.5","217","28","1.207978692248826","14.367071234959397"
"91","1","82","levy","poisson","20","3.5","380","40","2.0805156801329883","36.62707092060597"
"97","1","84","levy","poisson","10","3.5","92","12","1.088771752643467","18.124192321444795"
"98","1","84","levy","poisson","15","3.5","224","21","1.1309774582295304","53.53665272589144"
"92","1","82","levy","poisson","25","3.5","858","82","2.4671131015084953","78.05825340499231"
"95","1","83","levy","poisson","20","3.5","719","47","2.1570167461440555","44.95300420109529"
"99","1","84","levy","poisson","20","3.5","354","40","2.0574951517835096","63.395803292986464"
"101","1","85","levy","poisson","10","3.5","83","6","0.6304453484881769","17.483165634632904"
"96","1","83","levy","poisson","25","3.5","723","53","1.847214358883532","76.44532895189138"
"102","1","85","levy","poisson","15","3.5","222","6","0.6044770002364976","22.421766213289455"
"105","1","86","levy","poisson","10","3.5","90","13","1.2892986403168094","14.730243832120042"
"103","1","85","levy","poisson","20","3.5","444","61","2.2517117412853516","23.249810851721964"
"106","1","86","levy","poisson","15","3.5","212","18","1.0035806249658976","40.552677722659084"
"100","1","84","levy","poisson","25","3.5","751","42","2.454806600589448","58.172121607549705"
"109","1","87","levy","poisson","10","3.5","74","13","0.8726361961273725","27.905827607583543"
"110","1","87","levy","poisson","15","3.5","198","35","0.8804024786752125","76.44501576953384"
"107","1","86","levy","poisson","20","3.5","506","44","1.4636261220732738","42.77478686152749"
"104","1","85","levy","poisson","25","3.5","738","94","2.6993204218186904","37.81161378358375"
"113","1","88","levy","poisson","10","3.5","107","9","1.0423213506530837","15.043336333622307"
