"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"1","1","60","levy","pareto","20","3.5","475","47","1.7921062234163827","42.163581339142496"
"4","1","63","levy","pareto","20","3.5","509","49","2.266067284064225","22.230844769925703"
"2","1","61","levy","pareto","20","3.5","545","31","1.943876040885998","20.44856475742281"
"3","1","62","levy","pareto","20","3.5","479","37","2.9083348994503764","58.90779606403928"
"6","1","65","levy","pareto","20","3.5","482","42","1.7272378738973746","51.34434580279804"
"7","1","66","levy","pareto","20","3.5","496","52","1.4728597178430327","39.98784322935191"
"8","1","67","levy","pareto","20","3.5","524","63","1.5546793388763192","30.63002628157194"
"5","1","64","levy","pareto","20","3.5","582","39","2.017601074649055","37.24562575914311"
"11","1","70","levy","pareto","20","3.5","422","30","2.0712538192316776","38.61429259486414"
"12","1","71","levy","pareto","20","3.5","439","52","1.2771011533752414","47.43512717465936"
"10","1","69","levy","pareto","20","3.5","499","45","1.2284402605960096","29.883527947319674"
"9","1","68","levy","pareto","20","3.5","643","53","1.663079715862744","70.74893467721321"
"13","1","72","levy","pareto","20","3.5","453","84","1.5269923848207494","54.0569038447145"
"14","1","73","levy","pareto","20","3.5","482","45","1.8166212529634471","41.20781476530097"
"15","1","74","levy","pareto","20","3.5","532","61","2.044528759573157","61.87595905375229"
"16","1","75","levy","pareto","20","3.5","498","48","1.0777756908464164","30.35123648610017"
"17","1","76","levy","pareto","20","3.5","513","51","1.726518050813043","49.2825046678225"
"19","1","78","levy","pareto","20","3.5","473","33","1.3361765195516302","56.26293855306743"
"18","1","77","levy","pareto","20","3.5","489","35","2.0672197534798142","52.67463397327221"
"20","1","79","levy","pareto","20","3.5","419","43","1.6422679947891137","23.7772615316355"
"21","1","80","levy","pareto","20","3.5","436","11","0.9919565640678449","28.441668946958874"
"24","1","83","levy","pareto","20","3.5","448","41","1.5544345453685535","39.058724163616525"
"22","1","81","levy","pareto","20","3.5","518","50","1.9003390061093892","117.21922775846389"
"23","1","82","levy","pareto","20","3.5","524","47","1.481259498927324","79.49100291346382"
"25","1","84","levy","pareto","20","3.5","412","57","1.8497960197668535","49.49375589551139"
"26","1","85","levy","pareto","20","3.5","355","45","1.879947575834704","55.04355658992893"
"27","1","86","levy","pareto","20","3.5","442","67","1.7878808960336343","22.0712307097796"
"28","1","87","levy","pareto","20","3.5","409","43","1.402156992003654","47.5826227853613"
"29","1","88","levy","pareto","20","3.5","445","41","1.9319802863122986","88.41525473919266"
"30","1","89","levy","pareto","20","3.5","463","41","1.3810890384235188","86.37048843513438"
"31","1","90","levy","pareto","20","3.5","424","47","0.9747421281793391","39.922821182181806"
"32","1","91","levy","pareto","20","3.5","379","38","1.8934959955125246","40.088613932153415"
"34","1","93","levy","pareto","20","3.5","442","42","1.4626362769830594","45.91358808750322"
"35","1","94","levy","pareto","20","3.5","433","32","2.339549784572812","56.28015763495795"
"36","1","95","levy","pareto","20","3.5","419","41","2.6908942958404474","43.978326200368514"
"33","1","92","levy","pareto","20","3.5","706","44","2.1130500893159123","105.08909531138805"
"37","1","96","levy","pareto","20","3.5","446","52","2.4139313796826727","63.1157708386481"
"40","1","99","levy","pareto","20","3.5","344","47","1.9599975188300558","29.76854010270031"
"39","1","98","levy","pareto","20","3.5","419","39","1.280501098199867","47.628353504478675"
"41","1","100","levy","pareto","20","3.5","390","53","1.5557340463318514","35.00953047696358"
"38","1","97","levy","pareto","20","3.5","622","53","1.7445112927644955","75.46676409698189"
