"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"3","1","62","levy","poisson","20","3.5","533","50","1.5653770846263484","68.18896858856424"
"4","1","63","levy","poisson","20","3.5","575","66","1.9229230971580913","89.04128484547847"
"1","1","60","levy","poisson","20","3.5","724","61","1.4257212516376576","19.386127785059294"
"2","1","61","levy","poisson","20","3.5","800","49","1.3404076693681644","38.71942009711819"
"5","1","64","levy","poisson","20","3.5","464","40","2.404585416473604","45.052505079076134"
"6","1","65","levy","poisson","20","3.5","644","63","1.847781599432743","51.60995826972717"
"8","1","67","levy","poisson","20","3.5","433","51","2.374669803357209","73.120007347257"
"7","1","66","levy","poisson","20","3.5","606","51","1.3735111292830329","51.00119534532328"
"9","1","68","levy","poisson","20","3.5","620","51","2.450510470935697","39.35114284435658"
"10","1","69","levy","poisson","20","3.5","485","30","1.0688162417520495","20.0337634225672"
"11","1","70","levy","poisson","20","3.5","455","38","1.737019021309858","48.27634204064414"
"12","1","71","levy","poisson","20","3.5","459","43","2.847318530227623","55.87475220539249"
"13","1","72","levy","poisson","20","3.5","489","36","1.371676099644203","42.17049587801685"
"15","1","74","levy","poisson","20","3.5","421","58","2.932097662827701","65.35429868634915"
"14","1","73","levy","poisson","20","3.5","514","56","2.005998613041796","65.37585705638182"
"16","1","75","levy","poisson","20","3.5","485","54","2.0862748495089525","45.25371188988872"
"17","1","76","levy","poisson","20","3.5","471","29","1.30932874006281","38.31955424742049"
"19","1","78","levy","poisson","20","3.5","484","56","1.847102669992137","36.873034844848"
"18","1","77","levy","poisson","20","3.5","576","41","1.8802163603343223","88.42001312206618"
"20","1","79","levy","poisson","20","3.5","381","61","2.1383819626728418","27.24864644049338"
"21","1","80","levy","poisson","20","3.5","510","38","1.2751298392052428","85.07407628694543"
"23","1","82","levy","poisson","20","3.5","392","39","2.1516703410463522","88.1388598213201"
"22","1","81","levy","poisson","20","3.5","497","37","1.6316671853206124","23.5038519497104"
"24","1","83","levy","poisson","20","3.5","412","46","2.6373399483851223","65.0976711024275"
"27","1","86","levy","poisson","20","3.5","388","38","1.518642145978344","40.98010507759446"
"28","1","87","levy","poisson","20","3.5","349","37","1.8311983599398696","31.961340969942242"
"25","1","84","levy","poisson","20","3.5","565","61","2.1954587541622477","49.86474343927378"
"26","1","85","levy","poisson","20","3.5","551","62","1.5784138922211026","59.292806883176155"
"29","1","88","levy","poisson","20","3.5","449","27","1.1000986654678","33.33475746584493"
"32","1","91","levy","poisson","20","3.5","367","53","2.2277707712738417","37.5906122008878"
"31","1","90","levy","poisson","20","3.5","406","79","2.1033883720382542","82.06018330725625"
"30","1","89","levy","poisson","20","3.5","429","33","1.4331294031708284","23.520994583550284"
"34","1","93","levy","poisson","20","3.5","406","34","1.8468730677422212","44.846051357486395"
"35","1","94","levy","poisson","20","3.5","415","33","1.7182702368022804","57.16079842822522"
"36","1","95","levy","poisson","20","3.5","356","43","1.516530475075446","57.016421784113135"
"33","1","92","levy","poisson","20","3.5","485","40","1.0638466126681179","59.28357828573458"
"38","1","97","levy","poisson","20","3.5","334","64","2.278477145756794","46.998959091248715"
"37","1","96","levy","poisson","20","3.5","420","37","1.6983494159445263","87.52730074538697"
"39","1","98","levy","poisson","20","3.5","400","24","1.0670428253574809","51.432667365214265"
"40","1","99","levy","poisson","20","3.5","378","43","2.116047154810638","43.377429132536115"
"41","1","100","levy","poisson","20","3.5","349","50","1.9905620407546376","34.43767246017182"
