"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"2","1","70","levy","poisson","9","3.5","69","9","0.42106836357444877","22.849112638283902"
"1","1","70","levy","poisson","8","3.5","74","4","0.5795237346766089","18.86498625560207"
"3","1","70","levy","poisson","10","3.5","113","8","0.8606923340923638","39.882323195303954"
"4","1","70","levy","poisson","11","3.5","128","13","1.1814564848896754","45.91480917257702"
"5","1","70","levy","poisson","12","3.5","215","15","1.7363567046696673","16.81403723975582"
"7","1","70","levy","poisson","14","3.5","212","16","0.9763057347059689","20.65293312804843"
"6","1","70","levy","poisson","13","3.5","225","20","1.3516116452014852","67.21354342409775"
"8","1","70","levy","poisson","15","3.5","277","22","1.0153476447591236","29.601398296568455"
"9","1","70","levy","poisson","16","3.5","323","21","1.3361477063294798","23.743924781741555"
"10","1","70","levy","poisson","17","3.5","388","44","1.8616603233284632","85.71382998892938"
"12","1","70","levy","poisson","19","3.5","410","41","1.8496948134125546","31.718436763792198"
"11","1","70","levy","poisson","18","3.5","432","45","1.863793523758435","51.22362702479574"
"13","1","70","levy","poisson","20","3.5","470","63","2.096924878489814","42.288602209546035"
"14","1","70","levy","poisson","21","3.5","585","50","1.728192251306826","48.59627155475137"
"16","1","70","levy","poisson","23","3.5","598","69","1.968439354673455","66.86165155682093"
"15","1","70","levy","poisson","22","3.5","729","34","1.842845396707169","44.72226921276862"
"17","1","70","levy","poisson","24","3.5","733","56","1.1411954098787778","17.79820919897964"
"18","1","70","levy","poisson","25","3.5","846","98","1.6859062892591066","54.33719811005197"
"22","1.1","70","levy","poisson","8","3.5","67","10","0.7488655561347506","21.51869729202876"
"23","1.1","70","levy","poisson","9","3.5","68","12","0.40119533921424066","18.896350504351982"
"24","1.1","70","levy","poisson","10","3.5","126","15","0.4920526400906997","30.591219058493962"
"25","1.1","70","levy","poisson","11","3.5","119","9","0.21457191550327703","16.2042618781742"
"26","1.1","70","levy","poisson","12","3.5","162","20","0.40161619447827457","33.160091799911015"
"27","1.1","70","levy","poisson","13","3.5","170","12","0.39372984748533524","29.792711374514003"
"28","1.1","70","levy","poisson","14","3.5","184","25","1.0671012849102315","40.32166284573078"
"29","1.1","70","levy","poisson","15","3.5","241","22","0.4897217976617254","22.11222459611268"
"21","1","70","levy","poisson","28","3.5","1012","128","3.475995202054392","123.79889181300905"
"19","1","70","levy","poisson","26","3.5","1041","75","1.7454052646594036","31.053836176653846"
"30","1.1","70","levy","poisson","16","3.5","290","23","0.8351945871913227","56.531441768222045"
"20","1","70","levy","poisson","27","3.5","1298","82","2.029821579178325","61.95181738940557"
"31","1.1","70","levy","poisson","17","3.5","301","24","1.5800298774309187","18.222001962910078"
